salary_rank,name,team,position,age,salary
229,Vincent Velasquez,PHI,SP,29,4000000
229,Kwang-hyun Kim,STL,SP,32,4000000
229,Tyler Glasnow,TB,SP,27,4000000
238,Lourdes Gurriel Jr.,TOR,LF,27,3928571
239,Armando Cruz,WSH,SS,0,3900000
240,Brian Anderson,MIA,3B,28,3800000
241,Walker Buehler,LAD,SP,26,3750000
242,Julio Urias,LAD,SP,24,3600000
243,Jose Iglesias,LAA,SS,31,3500000
243,Mike Clevinger,SD,SP,30,3500000
243,Yiddi Cappe,MIA,SS,0,3500000
243,Ian Happ,CHC,LF,26,3500000
243,Stephen Vogt,ARI,C,36,3500000
243,Leury Garcia,CHW,OF,30,3500000
243,Jason Castro,HOU,C,34,3500000
243,Luis Robert,CHW,CF,23,3500000
243,Martin Maldonado,HOU,C,34,3500000
243,Max Fried,ATL,SP,27,3500000
253,Daniel Norris,DET,RP,28,3475000
254,Manuel Margot,TB,RF,26,3400000
255,Brad Keller,KC,SP,25,3350000
256,Austin Hedges,CLE,C,28,3280000
257,Brandon Woodruff,MIL,SP,28,3275000
258,Jose Urena,DET,SP,29,3250000
259,Shun Yamaguchi,TOR,RP,33,3175000
260,Jesse Winker,CIN,LF,27,3150000
261,Kenta Maeda,MIN,SP,33,3125000
262,Hunter Renfroe,BOS,RF,29,3100000
262,Michael Fulmer,DET,SP,28,3100000
264,Josh Lindblom,MIL,SP,34,3041666
265,Mitch Haniger,SEA,RF,30,3010000
266,Antonio Senzatela,COL,SP,26,3000000
266,Wilmer Flores,SF,2B,29,3000000
266,Donovan Solano,SF,2B,33,3000000
266,Alex Wood,SF,SP,30,3000000
266,Tyler Chatwood,TOR,RP,31,3000000
266,Ross Stripling,TOR,SP,31,3000000
266,Cristian Hernandez,CHC,SS,0,3000000
266,Aledmys Diaz,HOU,SS,30,3000000
266,Ozzie Albies,ATL,2B,24,3000000
266,Carlos Colmenarez,TB,SS,0,3000000
266,Michael Wacha,TB,SP,30,3000000
277,Cristian Santana,DET,SS,0,2975000
278,Seth Lugo,NYM,RP,31,2925000
278,Daniel Bard,COL,RP/CL,36,2925000
280,Ryan Yarbrough,TB,SP,29,2900000
281,Jeimer Candelario,DET,1B,27,2850000
282,Colin Moran,PIT,1B,28,2800000
283,Greg Holland,KC,RP/CL,35,2750000
284,Hunter Dozier,KC,3B,29,2720000
285,David Dahl,TEX,LF,27,2700000
286,Wilman Diaz,LAD,SS,0,2697500
287,Jacoby Jones,DET,CF,29,2650000
288,Kohei Arihara,TEX,SP,28,2600000
288,Jack Flaherty,STL,SP,25,2600000
290,Dominic Smith,NYM,LF,26,2550000
291,Adalberto Mondesi,KC,SS,25,2525000
292,Shohei Ohtani,LAA,SP,26,2500000
292,Joely Rodriguez,TEX,RP,29,2500000
292,Pedro Pineda,OAK,OF,0,2500000
292,Omar Narvaez,MIL,C,29,2500000
292,Brandon Lowe,TB,2B,26,2500000
297,Michael Soroka,ATL,SP,23,2450000
298,Amed Rosario,CLE,SS,25,2400000
299,Ryan McMahon,COL,2B,26,2375000
300,Anthony Santander,BAL,RF,26,2350000
300,Manuel Beltre,TOR,SS,0,2350000
300,Shalin Polanco,PIT,OF,0,2350000
303,J.D. Davis,NYM,3B,28,2300000
304,Chad Pinder,OAK,SS,29,2275000
305,Jameson Taillon,NYY,SP,29,2250000
305,Rafael Montero,SEA,RP/CL,30,2250000
305,Joe Wendle,TB,3B,31,2250000
308,Tyler Mahle,CIN,SP,26,2200000
308,Danny De Andrade,MIN,SS,0,2200000
308,Tyler Duffey,MIN,RP,30,2200000
311,Chad Green,NYY,RP,30,2150000
312,Jordan Montgomery,NYY,SP,28,2130000
312,Chad Kuhl,PIT,SP,28,2130000
314,Alex Dickerson,SF,LF,31,2100000
314,Clint Frazier,NYY,OF,26,2100000
314,Niko Goodrum,DET,2B,29,2100000
314,Reynaldo Lopez,CHW,RP,27,2100000
314,John Gant,STL,RP,28,2100000
319,Brad Brach,NYM,RP,35,2075000
320,Matthew Strahm,SD,RP,29,2050000
320,Jorge Alfaro,MIA,C,28,2050000
320,J.P. Crawford,SEA,SS,26,2050000
320,Yoelqui Cespedes,CHW,OF,23,2050000
320,Steven Brault,PIT,SP,29,2050000
325,Mike Zunino,TB,C,30,2000000
325,Nick Wittgren,CLE,RP,30,2000000
325,Denzer Guzman,LAA,SS,0,2000000
325,Isiah Kiner-Falefa,TEX,SS,26,2000000
325,Pierce Johnson,SD,RP,30,2000000
325,Wilson Ramos,DET,C,33,2000000
325,Jon Lester,WSH,SP,37,2000000
325,Orlando Arcia,MIL,SS,26,2000000
325,Brooks Raley,HOU,RP,33,2000000
325,Aaron Bummer,CHW,RP,27,2000000
325,Evan Marshall,CHW,RP,31,2000000
325,Harrison Bader,STL,CF,27,2000000
325,Hansel Robles,MIN,RP,30,2000000
338,Raimel Tapia,COL,LF,27,1950000
338,Luke Weaver,ARI,SP,27,1950000
340,Garrett Cooper,MIA,RF,30,1900000
340,Yimi Garcia,MIA,RP/CL,30,1900000
340,Luke Jackson,ATL,RP,29,1900000
340,Malvin Valdez,CIN,OF,0,1900000
344,Mitch Garver,MIN,C,30,1875000
345,Ji-Man Choi,TB,1B,30,1850000
345,Matt Andriese,BOS,RP,31,1850000
345,Buck Farmer,DET,RP,30,1850000
345,Ariel Almonte,CIN,OF,0,1850000
349,Jhonny Piron,TB,OF,0,1825000
349,Pedro Severino,BAL,C,27,1825000
351,Yeison Morrobel,TEX,OF,0,1800000
351,Victor Acosta,SD,SS,0,1800000
351,Frankie Montas,OAK,SP,28,1800000
351,Jackson Chourio,MIL,SS,0,1800000
355,Darren O'Day,NYY,RP,38,1750000
355,Michael Taylor,KC,CF,30,1750000
357,Hans Montero,NYY,SS,0,1700000
357,Chris Flexen,SEA,SP,27,1700000
357,Carson Kelly,ARI,C,26,1700000
357,Jake Junis,KC,RP,28,1700000
357,Richard Rodriguez,PIT,RP/CL,31,1700000
362,Miguel Castro,NYM,RP,26,1687500
363,Manuel Pina,MIL,C,34,1650000
364,Max Stassi,LAA,C,30,1600000
364,Kevin Plawecki,BOS,C,30,1600000
366,Emilio Pagan,SD,RP,30,1570000
367,Brent Suter,MIL,RP,31,1550000
368,Freddy Galvis,BAL,SS,31,1500000
368,Kurt Suzuki,LAA,C,37,1500000
368,Miguel Bleis,BOS,OF,0,1500000
368,Austin Barnes,LAD,C,31,1500000
368,Curt Casali,SF,C,32,1500000
368,Rafael Dolis,TOR,RP/CL,33,1500000
368,Joe Jimenez,DET,RP,26,1500000
368,Austin Romine,CHC,C,32,1500000
368,Joe Ross,WSH,SP,28,1500000
368,Norge Vera,CHW,P,0,1500000
368,Ambioris Tavarez,ATL,SS,0,1500000
368,Daniel Vazquez,KC,SS,0,1500000
368,Amir Garrett,CIN,RP/CL,29,1500000
381,Caleb Smith,ARI,SP,29,1465000
382,Carlos Estevez,COL,RP,28,1450000
383,Richard Bleier,MIA,RP,34,1425000
384,Dan Vogelbach,MIL,1B,28,1400000
385,Adam Engel,CHW,LF,29,1375000
386,Johan Camargo,ATL,3B,27,1360000
387,Jesse Hahn,KC,RP,31,1350000
388,Samuel Basallo,BAL,C,0,1300000
388,Victor Caratini,SD,C,27,1300000
388,Evan White,SEA,1B,25,1300000
388,Yemal Flores,PHI,OF,0,1300000
